train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
1.0,0.9814814814814815,0.9907407407407407,"[[45027     0]
 [    1    53]]",0.7692307692307693,0.8108108108108109,0.9052530902145037,"[[29535     9]
 [    7    30]]",Node0
1.0,0.9166666666666666,0.9583333333333333,"[[22833     0]
 [    1    11]]",0.75,0.40540540540540543,0.7026180831522018,"[[29539     5]
 [   22    15]]",Node1
1.0,0.9895833333333334,0.9947916666666667,"[[290   0]
 [  1  95]]",0.03391684901531729,0.8378378378378378,0.9039751063004515,"[[28661   883]
 [    6    31]]",Node2
1.0,0.9722222222222222,0.9861111111111112,"[[48147     0]
 [    1    35]]",0.75,0.7297297297297297,0.8647125496739632,"[[29535     9]
 [   10    27]]",Node3
1.0,1.0,1.0,[[9]],0.001250802880227173,1.0,0.5,"[[    0 29544]
 [    0    37]]",Node4
1.0,0.8846153846153846,0.9423076923076923,"[[24760     0]
 [   12    92]]",0.7894736842105263,0.8108108108108109,0.905270014124604,"[[29536     8]
 [    7    30]]",Node5
1.0,1.0,1.0,"[[27084     0]
 [    0    49]]",0.7,0.7567567567567568,0.8781752914571761,"[[29532    12]
 [    9    28]]",Node6
1.0,1.0,1.0,"[[28178     0]
 [    0    34]]",0.6086956521739131,0.7567567567567568,0.878073747996575,"[[29526    18]
 [    9    28]]",Node7
1.0,0.9772727272727273,0.9886363636363636,"[[54845     0]
 [    1    43]]",0.8620689655172413,0.6756756756756757,0.8377701421974371,"[[29540     4]
 [   12    25]]",Node8
1.0,1.0,1.0,"[[14581     0]
 [    0    17]]",0.6666666666666666,0.7567567567567568,0.8781414436369758,"[[29530    14]
 [    9    28]]",Node9
