estimators,id,Node0,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9
"[('Node0', 4), ('Node0', 28), ('Node0', 5), ('Node0', 0), ('Node0', 8), ('Node0', 15), ('Node0', 13), ('Node0', 29), ('Node0', 16), ('Node0', 6), ('Node0', 23), ('Node0', 11), ('Node0', 20), ('Node0', 14), ('Node0', 21), ('Node0', 22), ('Node0', 19), ('Node0', 17), ('Node0', 7), ('Node0', 10), ('Node0', 24), ('Node0', 1), ('Node0', 12), ('Node0', 26), ('Node0', 27)]",Node0,25,0,0,0,0,0,0,0,0,0
"[('Node1', 12), ('Node1', 17), ('Node1', 2), ('Node1', 4), ('Node1', 6), ('Node1', 29), ('Node1', 20), ('Node1', 8), ('Node1', 16), ('Node1', 15), ('Node1', 11), ('Node1', 22), ('Node1', 19), ('Node1', 13), ('Node1', 9), ('Node1', 1), ('Node1', 18), ('Node1', 14), ('Node1', 21), ('Node1', 27), ('Node1', 25), ('Node1', 0), ('Node1', 23), ('Node1', 28), ('Node1', 7)]",Node1,0,25,0,0,0,0,0,0,0,0
"[('Node2', 8), ('Node2', 13), ('Node2', 26), ('Node2', 17), ('Node2', 14), ('Node2', 6), ('Node2', 4), ('Node2', 2), ('Node2', 22), ('Node2', 10), ('Node2', 19), ('Node2', 20), ('Node2', 9), ('Node2', 23), ('Node2', 12), ('Node2', 5), ('Node2', 3), ('Node2', 27), ('Node2', 25), ('Node2', 1), ('Node2', 29), ('Node2', 11), ('Node2', 16), ('Node2', 18), ('Node2', 21)]",Node2,0,0,25,0,0,0,0,0,0,0
"[('Node3', 19), ('Node3', 7), ('Node3', 9), ('Node3', 4), ('Node3', 12), ('Node3', 13), ('Node3', 23), ('Node3', 1), ('Node3', 16), ('Node3', 17), ('Node3', 27), ('Node3', 2), ('Node3', 6), ('Node3', 15), ('Node3', 5), ('Node3', 8), ('Node3', 29), ('Node3', 28), ('Node3', 20), ('Node3', 3), ('Node3', 22), ('Node3', 10), ('Node3', 11), ('Node3', 26), ('Node3', 21)]",Node3,0,0,0,25,0,0,0,0,0,0
"[('Node4', 0), ('Node4', 1), ('Node4', 2), ('Node4', 3), ('Node4', 4), ('Node4', 5), ('Node4', 6), ('Node4', 7), ('Node4', 8), ('Node4', 9), ('Node4', 10), ('Node4', 11), ('Node4', 12), ('Node4', 13), ('Node4', 14), ('Node4', 15), ('Node4', 16), ('Node4', 17), ('Node4', 18), ('Node4', 19), ('Node4', 20), ('Node4', 21), ('Node4', 22), ('Node4', 23), ('Node4', 24)]",Node4,0,0,0,0,25,0,0,0,0,0
"[('Node5', 6), ('Node5', 18), ('Node5', 13), ('Node5', 27), ('Node5', 8), ('Node5', 11), ('Node5', 12), ('Node5', 21), ('Node5', 2), ('Node5', 26), ('Node5', 17), ('Node5', 29), ('Node5', 1), ('Node5', 5), ('Node5', 28), ('Node5', 14), ('Node5', 10), ('Node5', 9), ('Node5', 16), ('Node5', 23), ('Node5', 19), ('Node5', 20), ('Node5', 0), ('Node5', 7), ('Node5', 25)]",Node5,0,0,0,0,0,25,0,0,0,0
"[('Node6', 23), ('Node6', 21), ('Node6', 6), ('Node6', 0), ('Node6', 11), ('Node6', 22), ('Node6', 19), ('Node6', 2), ('Node6', 17), ('Node6', 27), ('Node6', 9), ('Node6', 5), ('Node6', 29), ('Node6', 10), ('Node6', 18), ('Node6', 1), ('Node6', 20), ('Node6', 15), ('Node6', 25), ('Node6', 12), ('Node6', 3), ('Node6', 14), ('Node6', 7), ('Node6', 8), ('Node6', 13)]",Node6,0,0,0,0,0,0,25,0,0,0
"[('Node7', 24), ('Node7', 4), ('Node7', 3), ('Node7', 20), ('Node7', 16), ('Node7', 19), ('Node7', 1), ('Node7', 15), ('Node7', 13), ('Node7', 22), ('Node7', 28), ('Node7', 2), ('Node7', 10), ('Node7', 7), ('Node7', 5), ('Node7', 14), ('Node7', 29), ('Node7', 8), ('Node7', 27), ('Node7', 25), ('Node7', 0), ('Node7', 21), ('Node7', 17), ('Node7', 18), ('Node7', 26)]",Node7,0,0,0,0,0,0,0,25,0,0
"[('Node8', 29), ('Node8', 24), ('Node8', 16), ('Node8', 25), ('Node8', 20), ('Node8', 22), ('Node8', 1), ('Node8', 10), ('Node8', 17), ('Node8', 5), ('Node8', 7), ('Node8', 14), ('Node8', 3), ('Node8', 4), ('Node8', 26), ('Node8', 0), ('Node8', 21), ('Node8', 6), ('Node8', 27), ('Node8', 18), ('Node8', 23), ('Node8', 11), ('Node8', 2), ('Node8', 19), ('Node8', 28)]",Node8,0,0,0,0,0,0,0,0,25,0
"[('Node9', 22), ('Node9', 10), ('Node9', 9), ('Node9', 16), ('Node9', 13), ('Node9', 12), ('Node9', 11), ('Node9', 2), ('Node9', 28), ('Node9', 21), ('Node9', 23), ('Node9', 25), ('Node9', 20), ('Node9', 5), ('Node9', 6), ('Node9', 1), ('Node9', 4), ('Node9', 26), ('Node9', 8), ('Node9', 19), ('Node9', 7), ('Node9', 0), ('Node9', 18), ('Node9', 14), ('Node9', 29)]",Node9,0,0,0,0,0,0,0,0,0,25
