train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
1.0,0.8452914798206278,0.9226457399103138,"[[255880      0]
 [    69    377]]",0.9850746268656716,0.8148148148148148,0.9073979684585287,"[[52971     1]
 [   15    66]]",Node0
1.0,0.8333333333333334,0.9166666666666667,"[[22833     0]
 [    2    10]]",0.6829268292682927,0.345679012345679,0.6727167998374171,"[[52959    13]
 [   53    28]]",Node1
1.0,0.9895833333333334,0.9947916666666667,"[[290   0]
 [  1  95]]",0.04046920821114369,0.8518518518518519,0.9104838055604498,"[[51336  1636]
 [   12    69]]",Node2
1.0,0.9722222222222222,0.9861111111111112,"[[48147     0]
 [    1    35]]",0.7792207792207793,0.7407407407407407,0.8702099082394332,"[[52955    17]
 [   21    60]]",Node3
1.0,1.0,1.0,[[9]],0.001526775111680772,1.0,0.5,"[[    0 52972]
 [    0    81]]",Node4
1.0,0.8942307692307693,0.9471153846153846,"[[24760     0]
 [   11    93]]",0.8441558441558441,0.8024691358024691,0.9011213005146907,"[[52960    12]
 [   16    65]]",Node5
1.0,0.9795918367346939,0.9897959183673469,"[[27084     0]
 [    1    48]]",0.7560975609756098,0.7654320987654321,0.882527270405143,"[[52952    20]
 [   19    62]]",Node6
1.0,1.0,1.0,"[[28178     0]
 [    0    34]]",0.6739130434782609,0.7654320987654321,0.8824328809163564,"[[52942    30]
 [   19    62]]",Node7
1.0,1.0,1.0,"[[54845     0]
 [    0    44]]",0.8813559322033898,0.6419753086419753,0.8209215816788371,"[[52965     7]
 [   29    52]]",Node8
1.0,1.0,1.0,"[[14581     0]
 [    0    17]]",0.7294117647058823,0.7654320987654321,0.882498953558507,"[[52949    23]
 [   19    62]]",Node9
