estimators,id,Node0,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9
"[('Node0', 4), ('Node9', 12), ('Node0', 28), ('Node5', 6), ('Node7', 21), ('Node0', 29), ('Node6', 27), ('Node8', 26), ('Node0', 25), ('Node0', 22), ('Node0', 27), ('Node0', 12), ('Node0', 0), ('Node6', 2), ('Node8', 22), ('Node6', 1), ('Node0', 10), ('Node1', 29), ('Node0', 16), ('Node0', 26), ('Node1', 28), ('Node1', 9), ('Node0', 24), ('Node8', 15), ('Node0', 14)]",Node0,13,3,0,0,0,1,3,1,3,1
"[('Node1', 4), ('Node1', 29), ('Node8', 5), ('Node0', 28), ('Node1', 9), ('Node9', 9), ('Node1', 28), ('Node6', 27), ('Node3', 11), ('Node8', 15), ('Node8', 26), ('Node6', 2), ('Node5', 10), ('Node0', 29), ('Node5', 29), ('Node1', 25), ('Node5', 2), ('Node1', 27), ('Node0', 25), ('Node3', 14), ('Node1', 16), ('Node5', 27), ('Node2', 22), ('Node1', 26), ('Node2', 28)]",Node1,3,8,2,2,0,4,2,0,3,1
"[('Node2', 28), ('Node2', 22), ('Node9', 12), ('Node7', 24), ('Node2', 27), ('Node2', 26), ('Node2', 25), ('Node2', 29), ('Node5', 10), ('Node7', 19), ('Node1', 29), ('Node2', 20), ('Node5', 27), ('Node6', 1), ('Node2', 21), ('Node6', 22), ('Node1', 28), ('Node1', 4), ('Node5', 29), ('Node8', 5), ('Node1', 9), ('Node5', 6), ('Node6', 2), ('Node0', 29), ('Node1', 22)]",Node2,1,5,8,0,0,4,3,2,1,1
"[('Node1', 9), ('Node0', 28), ('Node1', 29), ('Node5', 10), ('Node6', 1), ('Node8', 5), ('Node0', 29), ('Node1', 28), ('Node5', 29), ('Node1', 4), ('Node0', 25), ('Node1', 25), ('Node2', 22), ('Node8', 26), ('Node5', 27), ('Node2', 28), ('Node5', 2), ('Node6', 27), ('Node2', 29), ('Node2', 27), ('Node2', 26), ('Node9', 9), ('Node3', 11), ('Node3', 14), ('Node3', 26)]",Node3,3,5,5,3,0,4,2,0,2,1
"[('Node4', 0), ('Node4', 1), ('Node4', 2), ('Node4', 3), ('Node4', 4), ('Node0', 4), ('Node0', 0), ('Node0', 1), ('Node0', 3), ('Node0', 2), ('Node1', 4), ('Node1', 2), ('Node1', 1), ('Node1', 0), ('Node1', 3), ('Node2', 3), ('Node2', 1), ('Node2', 4), ('Node2', 0), ('Node2', 2), ('Node3', 3), ('Node3', 4), ('Node3', 1), ('Node3', 2), ('Node3', 0)]",Node4,5,5,5,5,5,0,0,0,0,0
"[('Node1', 9), ('Node1', 4), ('Node5', 6), ('Node7', 24), ('Node5', 10), ('Node0', 28), ('Node5', 27), ('Node5', 2), ('Node5', 26), ('Node5', 29), ('Node9', 12), ('Node8', 5), ('Node0', 29), ('Node6', 22), ('Node0', 25), ('Node8', 9), ('Node8', 22), ('Node5', 8), ('Node6', 27), ('Node8', 26), ('Node1', 29), ('Node1', 28), ('Node2', 22), ('Node5', 25), ('Node7', 3)]",Node5,3,4,1,0,0,8,2,2,4,1
"[('Node7', 24), ('Node7', 19), ('Node9', 12), ('Node6', 1), ('Node6', 22), ('Node3', 11), ('Node5', 6), ('Node1', 29), ('Node3', 14), ('Node6', 2), ('Node7', 21), ('Node8', 9), ('Node6', 23), ('Node6', 27), ('Node3', 3), ('Node6', 21), ('Node6', 24), ('Node6', 9), ('Node8', 26), ('Node1', 28), ('Node6', 3), ('Node0', 28), ('Node8', 22), ('Node0', 29), ('Node9', 9)]",Node6,2,2,0,3,0,1,9,3,3,2
"[('Node1', 4), ('Node9', 12), ('Node8', 26), ('Node1', 29), ('Node5', 6), ('Node9', 9), ('Node6', 1), ('Node1', 9), ('Node0', 4), ('Node3', 14), ('Node1', 28), ('Node3', 11), ('Node1', 25), ('Node6', 27), ('Node0', 28), ('Node5', 10), ('Node5', 27), ('Node2', 22), ('Node2', 28), ('Node5', 2), ('Node0', 29), ('Node0', 25), ('Node2', 29), ('Node5', 29), ('Node2', 27)]",Node7,4,5,4,2,0,5,2,0,1,2
"[('Node8', 5), ('Node8', 9), ('Node8', 15), ('Node8', 22), ('Node8', 26), ('Node0', 28), ('Node7', 24), ('Node1', 29), ('Node8', 29), ('Node8', 25), ('Node8', 24), ('Node5', 6), ('Node9', 9), ('Node0', 4), ('Node8', 4), ('Node0', 29), ('Node6', 2), ('Node3', 3), ('Node8', 16), ('Node8', 28), ('Node8', 27), ('Node6', 22), ('Node8', 1), ('Node1', 28), ('Node6', 27)]",Node8,3,2,0,1,0,1,3,1,13,1
"[('Node1', 9), ('Node1', 4), ('Node9', 12), ('Node8', 5), ('Node7', 24), ('Node0', 4), ('Node1', 29), ('Node1', 22), ('Node8', 26), ('Node9', 28), ('Node7', 21), ('Node6', 27), ('Node0', 28), ('Node1', 25), ('Node3', 3), ('Node6', 22), ('Node0', 29), ('Node0', 25), ('Node1', 20), ('Node1', 13), ('Node0', 16), ('Node0', 0), ('Node3', 11), ('Node1', 12), ('Node9', 9)]",Node9,6,8,0,2,0,0,2,2,2,3
