train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
1.0,0.7962962962962963,0.8981481481481481,"[[45027     0]
 [   11    43]]",0.875,0.7567567567567568,0.8783106827379776,"[[29540     4]
 [    9    28]]",Node0
0.5714285714285714,0.6666666666666666,0.8332019445539351,"[[22827     6]
 [    4     8]]",0.8484848484848485,0.7567567567567568,0.8782937588278774,"[[29539     5]
 [    9    28]]",Node1
1.0,0.8020833333333334,0.9010416666666667,"[[290   0]
 [ 19  77]]",0.7894736842105263,0.8108108108108109,0.905270014124604,"[[29536     8]
 [    7    30]]",Node2
0.8484848484848485,0.7777777777777778,0.8888369645737706,"[[48142     5]
 [    8    28]]",0.8571428571428571,0.8108108108108109,0.9053207858549045,"[[29539     5]
 [    7    30]]",Node3
1.0,0.6666666666666666,0.6666666666666666,"[[0 0]
 [3 6]]",0.7631578947368421,0.7837837837837838,0.8917395767009901,"[[29535     9]
 [    8    29]]",Node4
0.9629629629629629,0.75,0.8749394184168013,"[[24757     3]
 [   26    78]]",0.8285714285714286,0.7837837837837838,0.8917903484312908,"[[29538     6]
 [    8    29]]",Node5
0.9736842105263158,0.7551020408163265,0.8775325593241283,"[[27083     1]
 [   12    37]]",0.8235294117647058,0.7567567567567568,0.8782768349177772,"[[29538     6]
 [    9    28]]",Node6
0.8125,0.7647058823529411,0.8822464751391365,"[[28172     6]
 [    8    26]]",0.8333333333333334,0.8108108108108109,0.9053038619448043,"[[29538     6]
 [    7    30]]",Node7
0.8780487804878049,0.8181818181818182,0.9090453260842539,"[[54840     5]
 [    8    36]]",0.896551724137931,0.7027027027027027,0.8513005796210509,"[[29541     3]
 [   11    26]]",Node8
1.0,0.7058823529411765,0.8529411764705883,"[[14581     0]
 [    5    12]]",0.9310344827586207,0.7297297297297297,0.8648310170446645,"[[29542     2]
 [   10    27]]",Node9
