estimators,id,Node0,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9
"[('Node0', 4), ('Node1', 9), ('Node3', 23), ('Node7', 3), ('Node0', 28), ('Node0', 29), ('Node0', 1), ('Node0', 2), ('Node1', 29), ('Node5', 6), ('Node8', 24), ('Node6', 23), ('Node0', 0), ('Node6', 1), ('Node0', 22), ('Node6', 21), ('Node0', 23), ('Node1', 25), ('Node8', 29), ('Node1', 28), ('Node0', 13), ('Node1', 23), ('Node8', 1), ('Node7', 25), ('Node1', 21)]",Node0,9,6,0,1,0,1,3,2,3,0
"[('Node1', 9), ('Node1', 4), ('Node1', 29), ('Node0', 2), ('Node7', 3), ('Node1', 28), ('Node0', 29), ('Node1', 25), ('Node0', 4), ('Node0', 16), ('Node0', 22), ('Node1', 27), ('Node3', 23), ('Node5', 6), ('Node0', 1), ('Node1', 26), ('Node0', 28), ('Node0', 0), ('Node8', 1), ('Node6', 23), ('Node0', 3), ('Node6', 1), ('Node7', 24), ('Node8', 21), ('Node7', 25)]",Node1,9,7,0,1,0,1,2,3,2,0
"[('Node2', 13), ('Node2', 10), ('Node2', 28), ('Node0', 28), ('Node0', 16), ('Node1', 9), ('Node2', 26), ('Node0', 29), ('Node5', 10), ('Node8', 1), ('Node0', 4), ('Node8', 25), ('Node2', 25), ('Node1', 29), ('Node8', 29), ('Node2', 27), ('Node6', 23), ('Node6', 21), ('Node0', 3), ('Node6', 1), ('Node1', 28), ('Node1', 4), ('Node0', 0), ('Node2', 29), ('Node0', 1)]",Node2,7,4,7,0,0,1,3,0,3,0
"[('Node1', 9), ('Node0', 2), ('Node0', 16), ('Node0', 3), ('Node0', 28), ('Node0', 29), ('Node5', 10), ('Node3', 3), ('Node3', 23), ('Node0', 1), ('Node7', 3), ('Node1', 29), ('Node1', 25), ('Node1', 28), ('Node5', 27), ('Node1', 4), ('Node2', 13), ('Node7', 25), ('Node6', 23), ('Node8', 29), ('Node8', 25), ('Node2', 10), ('Node8', 1), ('Node3', 25), ('Node0', 4)]",Node3,7,5,2,3,0,2,1,2,3,0
"[('Node4', 0), ('Node4', 1), ('Node4', 2), ('Node4', 3), ('Node4', 4), ('Node0', 4), ('Node0', 0), ('Node0', 1), ('Node0', 2), ('Node0', 3), ('Node1', 4), ('Node1', 2), ('Node1', 1), ('Node1', 0), ('Node1', 3), ('Node2', 3), ('Node2', 1), ('Node2', 4), ('Node2', 2), ('Node2', 0), ('Node3', 3), ('Node3', 1), ('Node3', 4), ('Node3', 2), ('Node3', 0)]",Node4,5,5,5,5,5,0,0,0,0,0
"[('Node5', 6), ('Node1', 4), ('Node3', 25), ('Node0', 3), ('Node0', 4), ('Node0', 2), ('Node5', 10), ('Node5', 27), ('Node1', 29), ('Node6', 23), ('Node8', 24), ('Node7', 24), ('Node3', 23), ('Node5', 26), ('Node0', 20), ('Node5', 28), ('Node6', 21), ('Node1', 9), ('Node0', 16), ('Node0', 1), ('Node1', 23), ('Node5', 2), ('Node5', 29), ('Node5', 8), ('Node1', 28)]",Node5,6,5,0,2,0,8,2,1,1,0
"[('Node0', 0), ('Node6', 23), ('Node6', 21), ('Node8', 25), ('Node8', 29), ('Node6', 1), ('Node9', 23), ('Node0', 23), ('Node6', 17), ('Node8', 24), ('Node6', 27), ('Node6', 0), ('Node0', 4), ('Node6', 29), ('Node1', 4), ('Node9', 21), ('Node8', 1), ('Node5', 10), ('Node6', 2), ('Node1', 29), ('Node6', 5), ('Node0', 2), ('Node6', 22), ('Node0', 22), ('Node7', 24)]",Node6,5,2,0,0,0,1,10,1,4,2
"[('Node0', 16), ('Node7', 3), ('Node7', 24), ('Node7', 0), ('Node7', 25), ('Node8', 29), ('Node1', 9), ('Node6', 23), ('Node1', 29), ('Node6', 1), ('Node5', 6), ('Node0', 2), ('Node8', 25), ('Node9', 23), ('Node3', 3), ('Node7', 28), ('Node9', 21), ('Node7', 27), ('Node7', 8), ('Node1', 25), ('Node5', 10), ('Node2', 13), ('Node8', 15), ('Node0', 22), ('Node7', 15)]",Node7,3,3,1,1,0,2,2,8,3,2
"[('Node0', 2), ('Node0', 1), ('Node0', 0), ('Node1', 9), ('Node5', 6), ('Node8', 29), ('Node9', 23), ('Node8', 25), ('Node8', 26), ('Node8', 1), ('Node8', 27), ('Node8', 24), ('Node0', 22), ('Node0', 3), ('Node8', 22), ('Node7', 24), ('Node1', 29), ('Node3', 3), ('Node0', 16), ('Node1', 25), ('Node6', 23), ('Node1', 4), ('Node8', 28), ('Node0', 29), ('Node6', 21)]",Node8,7,4,0,1,0,1,2,1,8,1
"[('Node1', 4), ('Node3', 3), ('Node9', 21), ('Node9', 23), ('Node7', 24), ('Node3', 23), ('Node1', 25), ('Node6', 1), ('Node3', 19), ('Node6', 23), ('Node3', 18), ('Node8', 24), ('Node7', 0), ('Node8', 25), ('Node7', 19), ('Node7', 3), ('Node7', 20), ('Node1', 16), ('Node7', 25), ('Node8', 1), ('Node1', 15), ('Node7', 16), ('Node1', 17), ('Node1', 9), ('Node9', 28)]",Node9,0,6,0,4,0,0,2,7,3,3
