estimators,id,Node0,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9
"[('Node0', 4), ('Node1', 9), ('Node1', 29), ('Node0', 29), ('Node9', 23), ('Node0', 0), ('Node0', 13), ('Node0', 28), ('Node1', 28), ('Node0', 5), ('Node9', 9), ('Node0', 23), ('Node0', 27), ('Node9', 21), ('Node0', 26), ('Node0', 22), ('Node0', 15), ('Node0', 25), ('Node1', 4), ('Node1', 25), ('Node0', 17), ('Node0', 16), ('Node0', 8), ('Node1', 15), ('Node0', 21)]",Node0,16,6,0,0,0,0,0,0,0,3
"[('Node1', 4), ('Node1', 9), ('Node0', 29), ('Node0', 28), ('Node0', 13), ('Node2', 26), ('Node1', 29), ('Node1', 28), ('Node1', 27), ('Node1', 25), ('Node1', 26), ('Node2', 27), ('Node2', 28), ('Node2', 29), ('Node0', 4), ('Node1', 22), ('Node1', 20), ('Node1', 23), ('Node1', 21), ('Node0', 23), ('Node0', 0), ('Node2', 10), ('Node2', 13), ('Node2', 22), ('Node2', 20)]",Node1,6,11,8,0,0,0,0,0,0,0
"[('Node2', 22), ('Node1', 9), ('Node1', 29), ('Node3', 7), ('Node2', 26), ('Node1', 28), ('Node2', 27), ('Node2', 25), ('Node3', 19), ('Node3', 4), ('Node2', 29), ('Node2', 28), ('Node1', 25), ('Node3', 27), ('Node2', 13), ('Node2', 10), ('Node2', 12), ('Node3', 5), ('Node2', 20), ('Node2', 23), ('Node1', 4), ('Node2', 24), ('Node2', 8), ('Node3', 23), ('Node2', 21)]",Node2,0,5,14,6,0,0,0,0,0,0
"[('Node3', 7), ('Node3', 5), ('Node3', 19), ('Node3', 4), ('Node3', 27), ('Node3', 9), ('Node3', 23), ('Node3', 17), ('Node3', 26), ('Node3', 28), ('Node3', 25), ('Node3', 12), ('Node3', 14), ('Node3', 24), ('Node3', 15), ('Node3', 20), ('Node2', 26), ('Node3', 29), ('Node3', 16), ('Node3', 1), ('Node3', 8), ('Node3', 21), ('Node3', 10), ('Node3', 11), ('Node2', 10)]",Node3,0,0,2,23,0,0,0,0,0,0
"[('Node4', 0), ('Node4', 1), ('Node4', 2), ('Node4', 3), ('Node4', 4), ('Node3', 4), ('Node3', 3), ('Node3', 2), ('Node3', 1), ('Node3', 0), ('Node5', 2), ('Node5', 1), ('Node5', 3), ('Node5', 4), ('Node5', 0), ('Node4', 5), ('Node4', 6), ('Node4', 7), ('Node4', 8), ('Node4', 9), ('Node3', 7), ('Node3', 5), ('Node3', 9), ('Node5', 6), ('Node5', 8)]",Node4,0,0,0,8,10,7,0,0,0,0
"[('Node5', 6), ('Node7', 24), ('Node0', 1), ('Node5', 10), ('Node5', 27), ('Node6', 6), ('Node5', 2), ('Node5', 29), ('Node5', 13), ('Node5', 8), ('Node5', 26), ('Node5', 11), ('Node6', 22), ('Node5', 18), ('Node5', 12), ('Node5', 17), ('Node5', 28), ('Node5', 22), ('Node5', 19), ('Node6', 23), ('Node5', 25), ('Node5', 9), ('Node5', 20), ('Node6', 0), ('Node5', 14)]",Node5,1,0,0,0,0,19,4,1,0,0
"[('Node0', 1), ('Node7', 24), ('Node6', 6), ('Node6', 22), ('Node6', 23), ('Node6', 0), ('Node7', 20), ('Node5', 10), ('Node6', 21), ('Node6', 1), ('Node0', 2), ('Node5', 27), ('Node6', 2), ('Node6', 17), ('Node6', 27), ('Node6', 9), ('Node6', 24), ('Node5', 29), ('Node7', 15), ('Node5', 2), ('Node6', 11), ('Node6', 29), ('Node6', 14), ('Node6', 5), ('Node6', 28)]",Node6,2,0,0,0,0,4,16,3,0,0
"[('Node7', 24), ('Node7', 20), ('Node7', 15), ('Node8', 26), ('Node8', 29), ('Node7', 8), ('Node6', 6), ('Node7', 3), ('Node0', 1), ('Node7', 25), ('Node0', 2), ('Node7', 0), ('Node7', 22), ('Node7', 27), ('Node7', 16), ('Node7', 1), ('Node7', 7), ('Node7', 29), ('Node7', 26), ('Node8', 24), ('Node9', 9), ('Node7', 28), ('Node7', 13), ('Node7', 19), ('Node0', 4)]",Node7,3,0,0,0,0,0,1,17,3,1
"[('Node0', 2), ('Node0', 1), ('Node8', 29), ('Node9', 9), ('Node8', 24), ('Node8', 25), ('Node8', 28), ('Node8', 26), ('Node7', 20), ('Node8', 27), ('Node8', 1), ('Node0', 0), ('Node7', 15), ('Node9', 23), ('Node0', 4), ('Node8', 5), ('Node7', 24), ('Node8', 22), ('Node7', 8), ('Node8', 15), ('Node8', 18), ('Node8', 20), ('Node8', 19), ('Node8', 10), ('Node7', 3)]",Node8,4,0,0,0,0,0,0,5,14,2
"[('Node9', 21), ('Node9', 23), ('Node0', 4), ('Node0', 2), ('Node0', 29), ('Node0', 0), ('Node8', 26), ('Node0', 28), ('Node8', 29), ('Node9', 12), ('Node9', 9), ('Node9', 16), ('Node0', 5), ('Node9', 28), ('Node9', 27), ('Node9', 25), ('Node9', 20), ('Node9', 29), ('Node9', 26), ('Node8', 24), ('Node0', 23), ('Node0', 17), ('Node0', 6), ('Node9', 22), ('Node8', 5)]",Node9,9,0,0,0,0,0,0,0,4,12
