train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
1.0,0.8183856502242153,0.9091928251121076,"[[255880      0]
 [    81    365]]",0.9846153846153847,0.7901234567901234,0.895052289446183,"[[52971     1]
 [   17    64]]",Node0
1.0,0.9166666666666666,0.9583333333333333,"[[22833     0]
 [    1    11]]",0.927536231884058,0.7901234567901234,0.8950145336506685,"[[52967     5]
 [   17    64]]",Node1
1.0,0.8958333333333334,0.9479166666666667,"[[290   0]
 [ 10  86]]",0.1924198250728863,0.8148148148148148,0.9047928185680205,"[[52695   277]
 [   15    66]]",Node2
1.0,0.9722222222222222,0.9861111111111112,"[[48147     0]
 [    1    35]]",0.8,0.7407407407407407,0.8702287861371906,"[[52957    15]
 [   21    60]]",Node3
1.0,0.6666666666666666,0.6666666666666666,"[[0 0]
 [3 6]]",0.5929203539823009,0.8271604938271605,0.9131460552651622,"[[52926    46]
 [   14    67]]",Node4
0.989010989010989,0.8653846153846154,0.9326721138312415,"[[24759     1]
 [   14    90]]",0.825,0.8148148148148148,0.9072752621231062,"[[52958    14]
 [   15    66]]",Node5
1.0,0.8367346938775511,0.9183673469387755,"[[27084     0]
 [    8    41]]",0.8227848101265823,0.8024691358024691,0.9011024226169334,"[[52958    14]
 [   16    65]]",Node6
1.0,0.9411764705882353,0.9705882352941176,"[[28178     0]
 [    2    32]]",0.8266666666666667,0.7654320987654321,0.8825933430472935,"[[52959    13]
 [   19    62]]",Node7
0.9743589743589743,0.8636363636363636,0.9318090652168508,"[[54844     1]
 [    6    38]]",0.9384615384615385,0.7530864197530864,0.8765054540810286,"[[52968     4]
 [   20    61]]",Node8
1.0,0.8235294117647058,0.9117647058823529,"[[14581     0]
 [    3    14]]",0.927536231884058,0.7901234567901234,0.8950145336506685,"[[52967     5]
 [   17    64]]",Node9
